,ID,CVE_SUN,NOM_SUN,SegregationIndex,EconomicComplexity,GDP_PerCapita,GDP_Change,PopDensity,PopulationChange,UrbanizedSurfaceChange,TransitModeShare,ESA_BuiltUp_Ratio,clusters3
1,1,M01.01,Aguascalientes,0.010557508,2.32,0.03880157,4.2267513,0.014448061,2.084374989,2.741028867,0.161,2.295115487,1
2,2,M02.01,Ensenada,0.007909629,1.83,0.042172435,5.001402103,0.011076828,1.70708788,1.602611353,0.224,2.711696713,1
3,3,M02.02,Mexicali,0.007921199,2.2,0.038501899,3.473928339,0.015381605,1.744020148,2.135895078,0.113,3.935820476,1
4,4,M02.03,Tijuana,0.006925711,2.62,0.035455271,3.986587527,0.022261913,2.700901697,2.08236229,0.227,2.727270653,1
5,5,M03.01,La Paz,0.00650048,1.67,0.050534976,4.447327609,0.009505188,1.815499783,2.603624141,0.189,2.789157988,1
6,6,M04.01,Campeche,0.005885274,1.48,0.031430054,3.664587669,0.013002551,1.693552939,1.867381924,0.341,2.055513873,2
7,7,M05.01,La Laguna,0.01028339,2.32,0.037626698,3.390937274,0.012841964,1.543451311,2.463279236,0.234,2.726463146,1
8,8,M05.02,Monclova-Frontera,0.005844821,1.82,0.032878879,3.431085217,0.011396252,1.328869999,1.704417516,0.176,3.146887979,1
9,9,M05.03,Piedras Negras,0.007847398,1.43,0.031541484,4.410284328,0.012463483,1.81977411,1.758603073,0.088,2.75514548,1
10,10,M05.04,Saltillo,0.006396324,2.5,0.047677275,5.338940556,0.014489877,2.120471454,2.778492962,0.15,3.142642551,1
11,11,M06.01,Colima-Villa de Alvarez,0.008027652,1.45,0.031482457,3.830120318,0.013767459,1.797428837,2.07848379,0.185,2.271756348,1
12,12,M06.02,Tecoman,0.00294498,0.04,0.021842084,4.304559166,0.012419394,1.302766992,1.740310214,0.09,2.261892762,4
13,13,M07.01,Tapachula,0.012401515,1.04,0.03253707,4.190673326,0.013899563,1.590368922,2.270364,0.361,1.570557869,2
14,14,M07.02,Tuxtla Gutierrez,0.00604378,1.57,0.030994641,3.907096167,0.013670652,2.133475184,1.771286408,0.492,1.84080375,2
15,15,M08.01,Chihuahua,0.016726907,2.37,0.054446999,3.632753737,0.012183371,1.790400965,2.097206728,0.189,2.968137156,1
16,16,M08.02,Delicias,0.008185858,0.92,0.02843869,3.888745866,0.009909706,1.405369437,1.670946188,0.138,3.103912441,4
17,17,M08.03,Hidalgo del Parral,0.001736938,0.65,0.03488683,4.497879569,0.013909854,1.215043992,2.083241795,0.14,2.83432393,4
18,18,M08.04,Juarez,0.010956531,2.61,0.026676687,2.452507566,0.015539426,1.894116336,1.798065985,0.141,2.411682354,1
19,19,M09.01,Valle de Mexico,0.011767062,2.89,0.102421056,2.597948721,0.026891395,1.400976754,1.288523064,0.424,1.472733672,3
20,20,M10.01,Durango,0.006472934,1.76,0.037958236,5.490310367,0.014856018,1.664182585,2.068566714,0.26,3.044995141,1
21,21,M11.01,Celaya,0.010051739,1.74,0.030243041,3.47993196,0.012930899,1.597387886,2.473563585,0.225,2.437693031,1
22,22,M11.02,Guanajuato,0.014465721,0.63,0.026898499,3.034885981,0.014463162,1.632122178,2.445433637,0.318,2.515233465,2
23,23,M11.03,Leon,0.018816876,2.7,0.042432159,3.871142198,0.017960004,1.957958395,2.809426658,0.313,2.488692272,3
24,24,M11.04,Moroleon Uriangato,0.006633959,0.36,0.02341953,2.438060878,0.011958525,1.145983709,1.903250805,0.063,2.361416524,4
25,25,M11.05,San Francisco del Rincon,0.002745345,1.22,0.020543628,5.991353187,0.00958655,1.882885806,2.732959573,0.076,2.328233824,4
26,26,M12.01,Acapulco,0.004723945,1.15,0.025563752,2.72764141,0.017492808,1.303757189,1.782939085,0.487,2.065241382,2
27,27,M12.02,Chilpancingo,0.003408637,0.33,0.040767472,8.963185923,0.018330325,1.989110965,2.365243378,0.463,2.548104818,2
28,28,M13.01,Pachuca,0.007578329,1.58,0.031132386,4.558487253,0.011896901,2.408318626,2.05135486,0.32,2.796532999,1
29,29,M13.02,Tula,0.007089715,0.93,0.035909371,8.493238638,0.008018127,1.828529315,1.674806841,0.344,2.4343418,4
30,30,M13.03,Tulancingo,0.003989914,0.61,0.017064505,3.410504075,0.011208674,1.823817259,2.032982187,0.317,2.383833131,4
31,31,M14.01,Guadalajara,0.014051308,2.74,0.051106124,3.102499032,0.019454311,1.722780572,1.915543684,0.357,2.353136361,3
32,32,M14.02,Ocotlan,0.011068445,0.54,0.020500821,4.338415913,0.011328916,1.525014457,2.337768367,0.099,2.272728545,4
33,33,M14.03,Puerto Vallarta,0.00756824,1.51,0.062425863,6.118066241,0.016688513,3.169259955,2.097747134,0.37,2.18336467,2
34,34,M15.01,Tianguistenco,0.00327079,0.21,0.011504248,5.082522809,0.014901996,1.974372509,1.848582536,0.136,1.997721295,4
